product_id,product_family,technology,part_type,component_density_gb,module_density_gb,speed_mhz,data_rate_mt_s,io_voltage_v,operating_temp_min_c,operating_temp_max_c,bus_width_bits,cas_latency,pin_count,package,component_config,ecc,part_status,package_width_mm,package_length_mm,package_height_mm,inventory_units,weekly_demand_units,inventory_coverage_weeks,backlog_units,backlog_ratio,open_po_units,open_po_coverage,supplier_lead_time_days,supplier_otd_pct,demand_trend_4w_pct,allocation_status,supply_risk_next_4w,lead_time_next_4w_days,datasheet_id
ANM-D5C-0001,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,-40,95,4,CL40,78,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,511,195,2.62,0,0.0,370,1.9,32,98.0,-6.5,None,1,28.4,DS-ANM-D5C-0001
ANM-D5C-0002,DDR5_COMPONENT,DDR5,COMPONENT,32,,3600,7200,1.1,-40,95,4,CL58,78,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,151,108,1.4,0,0.0,101,0.94,22,88.4,30.4,Watch,1,24.7,DS-ANM-D5C-0002
ANM-D5C-0003,DDR5_COMPONENT,DDR5,COMPONENT,32,,2400,4800,1.1,0,95,16,CL40,78,VFBGA,2Gb x16,,Production,7.5,14.0,1.0,133,154,0.87,79,0.513,150,0.98,35,96.3,9.2,Constrained,1,37.3,DS-ANM-D5C-0003
ANM-D5C-0004,DDR5_COMPONENT,DDR5,COMPONENT,16,,2600,5200,1.1,-40,95,16,CL42,82,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,216,84,2.58,97,1.155,40,0.48,24,91.3,17.3,Watch,0,38.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0005,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,-40,95,4,CL40,82,VFBGA,6Gb x4,,Contact Sales,7.5,14.0,1.0,323,139,2.33,154,1.108,133,0.96,27,91.2,14.5,Watch,0,44.1,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0006,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,0,95,16,CL52,78,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,1136,242,4.69,0,0.0,282,1.17,14,93.3,-15.9,None,0,10.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0007,DDR5_COMPONENT,DDR5,COMPONENT,32,,2800,5600,1.1,0,95,16,CL46,78,VFBGA,2Gb x16,,Production,7.5,14.0,1.0,1524,232,6.57,0,0.0,327,1.41,30,95.4,64.7,Watch,0,32.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0008,DDR5_COMPONENT,DDR5,COMPONENT,16,,2600,5200,1.1,-40,95,4,CL42,82,VFBGA,4Gb x4,,Production,7.5,14.0,1.0,329,119,2.77,58,0.487,140,1.18,30,94.0,30.6,Watch,0,35.5,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0009,DDR5_COMPONENT,DDR5,COMPONENT,24,,2800,5600,1.1,-40,95,4,CL46,102,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,189,95,2.0,79,0.832,312,3.29,61,92.2,-1.6,Watch,0,72.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0010,DDR5_COMPONENT,DDR5,COMPONENT,16,,2600,5200,1.1,-40,95,8,CL42,102,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,283,128,2.21,83,0.648,233,1.82,18,90.4,-2.2,Watch,0,20.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0011,DDR5_COMPONENT,DDR5,COMPONENT,24,,2400,4800,1.1,0,95,4,CL40,82,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,510,135,3.79,0,0.0,512,3.79,22,87.3,-15.3,None,0,17.4,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0012,DDR5_COMPONENT,DDR5,COMPONENT,32,,2800,5600,1.1,-40,95,4,CL46,102,VFBGA,8Gb x4,,Production,7.5,14.0,1.0,330,157,2.11,47,0.299,294,1.88,51,96.1,18.2,Watch,1,50.9,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0013,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,-40,95,16,CL58,102,VFBGA,1Gb x16,,Production,7.5,14.0,1.0,285,321,0.89,0,0.0,510,1.59,61,97.5,4.2,Constrained,1,58.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0014,DDR5_COMPONENT,DDR5,COMPONENT,16,,3600,7200,1.1,0,95,8,CL58,78,VFBGA,2Gb x8,,Production,7.5,14.0,1.0,225,212,1.06,0,0.0,872,4.12,25,92.7,18.6,Constrained,1,20.8,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0015,DDR5_COMPONENT,DDR5,COMPONENT,32,,3200,6400,1.1,0,95,16,CL52,82,VFBGA,2Gb x16,,Production,7.5,14.0,1.0,1075,168,6.4,38,0.226,213,1.27,14,98.1,27.4,Watch,0,14.2,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0016,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,4,CL58,102,VFBGA,6Gb x4,,Production,7.5,14.0,1.0,1268,208,6.1,135,0.649,169,0.81,45,93.9,-17.4,None,0,54.3,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0017,DDR5_COMPONENT,DDR5,COMPONENT,16,,3200,6400,1.1,-40,95,4,CL52,102,VFBGA,4Gb x4,,Contact Sales,7.5,14.0,1.0,411,86,4.78,95,1.105,301,3.51,19,91.3,-20.7,Watch,0,26.0,DS-DDR5-COMPONENT-FAMILY
ANM-D5C-0018,DDR5_COMPONENT,DDR5,COMPONENT,24,,3600,7200,1.1,0,95,16,CL58,82,VFBGA,1.5Gb x16,,Sampling,7.5,14.0,1.0,584,240,2.44,104,0.433,936,3.9,43,89.3,-15.3,None,0,49.8,DS-DDR5-COMPONENT-FAMILY
